,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
134,09:18:42,23300.0,"('Purple', 1, 23300.0)","('Blue', 1)","('Red', 85)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
135,09:18:44,23302.0,"('Purple', 1)","('Blue', 1)","('Red', 85, 23302.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
136,09:18:45,23305.0,"('Purple', 1)","('Blue', 1)","('Red', 85, 23305.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
137,09:18:47,23305.0,"('Purple', 1)","('Blue', 1)","('Red', 85, 23305.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
138,09:18:49,23302.0,"('Purple', 2)","('Red', 85, 23302.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
139,09:18:50,23301.0,"('Purple', 2, 23301.0)","('Red', 85)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
140,09:18:52,23301.0,"('Purple', 2, 23301.0)","('Red', 85)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
141,09:18:53,23303.0,"('Purple', 2)","('Red', 85, 23303.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
142,09:18:55,23304.0,"('Purple', 2)","('Red', 85, 23304.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
143,09:18:57,23304.0,"('Purple', 2)","('Red', 85, 23304.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
144,09:18:58,23301.0,"('Purple', 2, 23301.0)","('Red', 85)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
145,09:19:00,23305.0,"('Purple', 2)","('Red', 85, 23305.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
146,09:19:02,23301.0,"('Purple', 2, 23301.0)","('Blue', 1)","('Red', 84)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
147,09:19:03,23312.0,"('Purple', 2)","('Blue', 1)","('Red', 84, 23312.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
148,09:19:05,23305.0,"('Purple', 2)","('Blue', 1)","('Red', 84, 23305.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
149,09:19:07,23305.0,"('Purple', 2)","('Blue', 1)","('Red', 84, 23305.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
150,09:19:08,23304.0,"('Purple', 2)","('Blue', 1)","('Red', 84, 23304.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
151,09:19:10,23290.0,"('Sky_Blue', 10, 23290.0)","('Blue', 3)","('Red', 84)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
152,09:19:12,23299.0,"('Sky_Blue', 10, 23299.0)","('Blue', 3)","('Red', 84)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,
153,09:19:13,23298.0,"('Sky_Blue', 8)","('Red', 89, 23298.0)","('Orange', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
154,09:19:15,23294.0,"('Sky_Blue', 8, 23294.0)","('Red', 89)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
155,09:19:17,23300.0,"('Sky_Blue', 8)","('Red', 89, 23300.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
156,09:19:18,23299.0,"('Sky_Blue', 8)","('Red', 89, 23299.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
157,09:19:20,23296.0,"('Sky_Blue', 8, 23296.0)","('Red', 89)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
158,09:19:21,23296.0,"('Sky_Blue', 8, 23296.0)","('Red', 89)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
159,09:19:23,23296.0,"('Sky_Blue', 6)","('Red', 91, 23296.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
160,09:19:25,23298.0,"('Sky_Blue', 6)","('Red', 91, 23298.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
161,09:19:26,23293.0,"('Sky_Blue', 6, 23293.0)","('Red', 91)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
162,09:19:28,23297.0,"('Sky_Blue', 6)","('Red', 91, 23297.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
163,09:19:30,23295.0,"('Sky_Blue', 5)","('Red', 92, 23295.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
164,09:19:31,23296.0,"('Sky_Blue', 5)","('Red', 92, 23296.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
165,09:19:33,23295.0,"('Sky_Blue', 5)","('Red', 92, 23295.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
166,09:19:35,23295.0,"('Sky_Blue', 5)","('Red', 92, 23295.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
167,09:19:36,23295.0,"('Sky_Blue', 5)","('Red', 92, 23295.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
168,09:19:38,23297.0,"('Sky_Blue', 5)","('Red', 92, 23297.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
169,09:19:39,23295.0,"('Sky_Blue', 5)","('Red', 92, 23295.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
170,09:19:41,23297.0,"('Sky_Blue', 5)","('Red', 92, 23297.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
171,09:19:43,23297.0,"('Sky_Blue', 5)","('Red', 92, 23297.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
172,09:19:44,23297.0,"('Sky_Blue', 5)","('Red', 92, 23297.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
173,09:19:46,23296.0,"('Sky_Blue', 5)","('Red', 92, 23296.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
174,09:19:48,23299.0,"('Sky_Blue', 5)","('Red', 92, 23299.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
175,09:19:49,23299.0,"('Sky_Blue', 5)","('Red', 92, 23299.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
176,09:19:51,23298.0,"('Sky_Blue', 5)","('Red', 92, 23298.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
177,09:19:52,23298.0,"('Sky_Blue', 5)","('Red', 92, 23298.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
178,09:19:54,23301.0,"('Sky_Blue', 5)","('Red', 92, 23301.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
179,09:19:55,23296.0,"('Sky_Blue', 5)","('Red', 92, 23296.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
180,09:19:57,23297.0,"('Sky_Blue', 5)","('Red', 92, 23297.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
181,09:19:59,23294.0,"('Sky_Blue', 4)","('Red', 93, 23294.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
182,09:20:00,23292.0,"('Sky_Blue', 4, 23292.0)","('Red', 93)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
183,09:20:02,23288.0,"('Sky_Blue', 6, 23288.0)","('Red', 93)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
184,09:20:04,23287.0,"('Sky_Blue', 7, 23287.0)","('Red', 93)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
185,09:20:05,23286.0,"('Sky_Blue', 8, 23286.0)","('Red', 93)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
186,09:20:07,23285.0,"('Sky_Blue', 9, 23285.0)","('Red', 93)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
187,09:20:09,23287.0,"('Sky_Blue', 2)","('Red', 100, 23287.0)","('Navy', 1)","('Gray', 1)",,,,,,,,,,,,,,,,,,,
